run_id,true_class,rank_within_true_class,id,path,predicted_class,confidence
source_only,dog,1,8d50bbd15d220c46,sketch/dog/n02106662_15858-1.png,horse,0.9979200959205627
source_only,dog,2,b1eb143eabed9935,sketch/dog/n02103406_8362-9.png,horse,0.9963802695274353
source_only,dog,3,d7c69a03c0f4778b,sketch/dog/n02103406_4068-10.png,horse,0.9956156015396118
source_only,elephant,1,5be48f7e7cf4b86a,sketch/elephant/n02503517_10528-3.png,dog,0.9920408129692078
source_only,elephant,2,faa4a0a386557065,sketch/elephant/n02503517_8265-1.png,dog,0.9895333647727966
source_only,elephant,3,d09d04276f39f83d,sketch/elephant/n02503517_3808-4.png,dog,0.989247739315033
source_only,giraffe,1,1201a86e704b5483,sketch/giraffe/n02439033_14148-8.png,horse,0.9996798038482666
source_only,giraffe,2,3374183636e43b1b,sketch/giraffe/n02439033_11504-1.png,horse,0.9972864389419556
source_only,giraffe,3,0044f0a7ca133639,sketch/giraffe/n02439033_1508-9.png,horse,0.9965035915374756
source_only,guitar,1,306f714323cc0b0e,sketch/guitar/7617.png,dog,0.9623730182647705
source_only,guitar,2,784fd7243516edd6,sketch/guitar/n03467517_7007-1.png,dog,0.9498065710067749
source_only,guitar,3,6ba928dfc3f8fe8a,sketch/guitar/7629.png,elephant,0.9328835010528564
source_only,horse,1,ef0b96ca34236002,sketch/horse/n02374451_777-3.png,dog,0.9764097929000854
source_only,horse,2,81bb7eb5a4cca625,sketch/horse/8542.png,dog,0.9655760526657104
source_only,horse,3,a12b5b2705ec19df,sketch/horse/n02374451_2372-5.png,dog,0.959527313709259
source_only,house,1,05d217fdc4eae87b,sketch/house/8831.png,elephant,0.9868906736373901
source_only,house,2,fc4d9b09022ab33b,sketch/house/8878.png,elephant,0.9464112520217896
source_only,house,3,b835aefb3ae573c1,sketch/house/8821.png,elephant,0.6984524726867676
source_only,person,1,abbc2be62987967d,sketch/person/12197.png,dog,0.9517555832862854
source_only,person,2,496e4eb0f36a265b,sketch/person/12215.png,dog,0.948957085609436
source_only,person,3,c3b0f79fa72fa4c8,sketch/person/12221.png,dog,0.934676468372345
dan_0p1,dog,1,5ee6195679bc2c47,sketch/dog/5285.png,person,0.999955415725708
dan_0p1,dog,2,fb25aca1ca199d67,sketch/dog/n02103406_5035-6.png,person,0.9999089241027832
dan_0p1,dog,3,5299d168d2b90002,sketch/dog/n02103406_5456-3.png,person,0.9998315572738647
dan_0p1,elephant,1,219d7b7fe94669c1,sketch/elephant/n02503517_759-1.png,person,0.9983869791030884
dan_0p1,elephant,2,bc4b4acf4a86ea97,sketch/elephant/n02503517_6784-2.png,person,0.9955238103866577
dan_0p1,elephant,3,d5cded151ccba8bc,sketch/elephant/n02503517_1852-4.png,person,0.9930857419967651
dan_0p1,giraffe,1,ce4dbc39b2f9456a,sketch/giraffe/7409.png,person,0.9989597797393799
dan_0p1,giraffe,2,fb4a639909d25c18,sketch/giraffe/n02439033_14121-2.png,person,0.9989239573478699
dan_0p1,giraffe,3,f9dbe597b697de99,sketch/giraffe/n02439033_5004-8.png,person,0.9980320334434509
dan_0p1,guitar,1,97925da60ccf90a9,sketch/guitar/7646.png,person,0.9881126284599304
