official_index,displacement_pixels,direction,transformed_rgb_sha256
3,16,left,172e31e8702449ede21af57688ca02ae474f985d3cde2b07d14691a27b513782
29,16,left,705336f5d1f41013d5889d21e4e8562659b808d82e12dc928d0c97a6c7a35d34
35,16,left,a864086c0dd314c34ccfca947227ab8d1697986e1b5adc4b8aab5edb44a69b1b
42,16,left,afc3e9060dde64cca5f4a10ead6a0365feeeb03cf4f4a99318b3505087c677ee
49,16,left,77d3a8f38dfe901767374e07a349290708ae0d7ce91a079ede1ec7c758105dbd
81,16,left,c36ee72af89d4e7863e6274bdc310e241e179b70384251a2424b67d01fced543
95,16,left,8ca2ce579ee399a015e3fbc888ff8758a98aa3065116a8e7d3e9251158f97d30
97,16,left,b829bdc3910471bc7977e87ec7ffa56136b209990b8f5f496fede2221248084d
116,16,left,80488c5345b09fbf01f2d755b8c06e62fc96beb77e5384bb9820ed646006a44b
131,16,left,402abaa5c6f6fe8f57b3e2f8e0351db58c997913f6672d811a56bdabdc960f19
151,16,left,c07aff8c1b939fb695f114f2e7a37122baf4ab6007186932fc69eddc0135aadf
171,16,left,1595a9912e417d59f6ef86948e36ad6d6c4f49693b169a5ee1bd93b8a08df925
176,16,left,5aafb9a82af96687a3aa54592fdce08efbc68f3a7ee3b66c7e94abe0921cb41c
191,16,left,a9d9ee03fe2107744a0cc5ad254a9035f47ef2e1179bbba314bca65976b6d6f8
194,16,left,f197e04cb6f333abf22c34f776c7b5a5ed8eb0ac434165d3a1c03ce5c2ea85b5
198,16,left,8f368fb370303ad97e2ea7135f839a3e6f20177f94d65535ff8e39cbba756f56
239,16,left,78584ae10051f6cf71f2965d74f65e921e929adefb1c3d72096ecf1ce501618e
261,16,left,5993bfe4adad95c70ec799ddf82df26e12581f756c36f5c9963fd2b09208fa0e
269,16,left,f063ce48b18307c89d4f1221e584ff116f4a95d4488bd97cb9e29e1aa29c85fa
276,16,left,2c046be67d1788164fb58b3e31a7877a470f8639f8405f061313a2453e6c41aa
303,16,left,8d74497f590bfe6a072a112acf8e40ea35d7ac5d75446bdb6ded7acd823871d3
304,16,left,1c0d15ef4e2ee6440f4ed4cd56746e19f01a2b029ddac73bf6e9125436f2aa3c
317,16,left,d7dd52e70595dbece950d3e73dd81002562e62cfeb53e0eb74f81b8afb7c05b0
319,16,left,37e96b2f9293db7ec9ca99401bfc3cec0780bffb051abde0d3733c0d5a674824
323,16,left,413dec983234a4948d4412ec8b57348d9937741b69ae94aa793a743b9b6b5fb1
365,16,left,f775a65dfd5c38215d4cf4144a18498619a0c8d7aed78b7e4052a405d7dc0541
370,16,left,0138b75f54afa1273d583ecf773d8a6600effc887ea3c5ec9bfe7cfd07c0b7f8
372,16,left,4f9dd4c42c915fbc597d98b4959a1b3a0d0a28e51a75b752feb31d2a3243939d
378,16,left,b9e880307a141cf22259326ff653e19feefbffd4cd296654a1b57d2f9f6443c7
391,16,left,7e8a18ea45c2445c90ca5394998c0cf0d5d17743c848777e5884723e15f1a4b6
409,16,left,7d32623b2ba244b490ba1a34620f3d436cd41da5c1dba5b23a49cda7c26561c7
419,16,left,de4b242685e5329c99e2522825a61b4dda44124d07c55946317365a6c7150ea6
449,16,left,a3dc36e1636f28ae93e1cd683468c31d2f4210d9fce8f7b94b4033bfb0c4f963
470,16,left,dcff4a2a3da4c259f105cb9c61fbc30a886d4d6e5ff5f4d4b3a90b166b271d14
483,16,left,a88a45aa85d8af00e5162f1fa24b3033703d13f3a10efb616633f14b50a8e40e
484,16,left,f1110042578b0103dbe5a14c80ee149a2aa61b9630338fe3f5d1f3570149fda5
506,16,left,85c977fd90b770ab12be3b71ab0179e0151dfd1f1b16b412d966a097e49daecc
545,16,left,51fd79469ba158d1d5bb7dc6c9ee041f0c361b3f14fd6f6ae87401ebe3952fcf
562,16,left,726a3b09b4491583c7c8cd9a37054ead1b5d0e1f933c25d6ff91d78508d05018
568,16,left,25b106004e4d6cbe0f6612aede3a8b3c88ca5754f5be2eb7116b7466a4213d6f
603,16,left,587926469ad2b9ec98bd22a084a950e9e3cfc3821d4a4a85f8a18aa01500cba6
632,16,left,ad70be78134d44273c6c1ebd65a5af1ef1b4413c97df5202ac872b37db11ae38
645,16,left,f28bd9242eb2c02851d1166d0c8d472b95cdd88cece8cb5fae4f43c289b23f05
667,16,left,a530ebd658864636f02fa84ef3f9cb2ab98775529d80e15ebbd4622f339cc0cf
672,16,left,59cd3e495d93005274e94f5a57ed5425443cfaa8092921f1fb970bd4dc85c45d
677,16,left,3f46f7d418a4b3b195dded9d8ad7fd68debfc70b5a53eb88c61ac980e11d76e7
685,16,left,a5cab74dbceb3eddef0dbf47091ded7f13d3a94ea05f8dc65b40fbc8a7995d1c
691,16,left,b4b4b89498ef7cfb519c2db41775cedc6814e8f9e5f7f8c5237395325486a33b
