run_id,index,id,domain_label,partition
cdan,0,photo/dog/056_0058.jpg,0,train
cdan,1,photo/person/253_0174.jpg,0,train
cdan,2,photo/giraffe/n02439033_1508.jpg,0,test
cdan,3,photo/giraffe/n02439033_14872.jpg,0,test
cdan,4,photo/guitar/063_0053.jpg,0,train
cdan,5,photo/dog/056_0095.jpg,0,train
cdan,6,photo/guitar/063_0079.jpg,0,train
cdan,7,photo/giraffe/084_0047.jpg,0,train
cdan,8,photo/giraffe/n02439033_10919.jpg,0,test
cdan,9,photo/person/253_0382.jpg,0,train
cdan,10,photo/house/pic_173.jpg,0,test
cdan,11,photo/person/253_0063.jpg,0,train
cdan,12,photo/house/pic_106.jpg,0,train
cdan,13,photo/house/pic_144.jpg,0,train
cdan,14,photo/dog/056_0090.jpg,0,train
cdan,15,photo/person/253_0193.jpg,0,test
cdan,16,photo/person/253_0323.jpg,0,test
cdan,17,photo/person/253_0429.jpg,0,train
cdan,18,photo/person/253_0248.jpg,0,train
cdan,19,photo/horse/n02374451_18570.jpg,0,train
cdan,20,photo/guitar/n03272010_6820.jpg,0,test
cdan,21,photo/person/253_0310.jpg,0,train
cdan,22,photo/person/253_0146.jpg,0,test
cdan,23,photo/house/pic_005.jpg,0,test
cdan,24,photo/person/253_0300.jpg,0,train
cdan,25,photo/dog/056_0068.jpg,0,train
cdan,26,photo/horse/n02374451_13718.jpg,0,train
cdan,27,photo/dog/n02103406_1599.jpg,0,test
cdan,28,photo/guitar/063_0107.jpg,0,test
cdan,29,photo/elephant/064_0111.jpg,0,train
cdan,30,photo/giraffe/084_0011.jpg,0,train
cdan,31,photo/house/pic_259.jpg,0,train
cdan,32,photo/house/pic_161.jpg,0,train
cdan,33,photo/dog/n02103406_5505.jpg,0,test
cdan,34,photo/house/pic_280.jpg,0,test
cdan,35,photo/person/253_0034.jpg,0,train
cdan,36,photo/horse/105_0030.jpg,0,train
cdan,37,photo/elephant/064_0044.jpg,0,train
cdan,38,photo/person/253_0166.jpg,0,train
