backbone,condition,condition_point_id,clean_official_index,true_class_id,translation_direction,umap_x,umap_y
resnet50,clean,6455,6455,0,,-0.2027605026960373,1.2428932189941406
resnet50,clean,4130,4130,0,,-0.13051842153072357,-0.017108503729104996
resnet50,clean,2024,2024,0,,-0.13840973377227783,1.2842081785202026
resnet50,clean,7150,7150,0,,0.13207940757274628,-0.33246949315071106
resnet50,clean,7372,7372,0,,0.1015181764960289,-0.3889874815940857
resnet50,clean,7009,7009,0,,-0.1542677879333496,0.43757006525993347
resnet50,clean,3437,3437,0,,-0.4657382667064667,1.7081748247146606
resnet50,clean,4615,4615,0,,-0.187607541680336,-0.6621870398521423
resnet50,clean,5999,5999,0,,-0.05126379430294037,0.04495789855718613
resnet50,clean,4675,4675,0,,0.14325854182243347,-0.23908951878547668
resnet50,clean,4785,4785,0,,0.36162543296813965,-0.21763089299201965
resnet50,clean,1175,1175,0,,0.2569238543510437,-0.5271257758140564
resnet50,clean,1648,1648,0,,0.06312326341867447,-0.19933046400547028
resnet50,clean,4893,4893,0,,0.2799355983734131,-0.5119603276252747
resnet50,clean,1977,1977,0,,-0.2900044322013855,-0.5796939134597778
resnet50,clean,6986,6986,0,,-0.7255195379257202,2.107822895050049
resnet50,clean,7634,7634,0,,0.09641723334789276,-0.5491300225257874
resnet50,clean,6844,6844,0,,-0.2921305000782013,-0.6051414012908936
resnet50,clean,81,81,0,,-0.3497857451438904,0.26968833804130554
resnet50,clean,3965,3965,0,,0.22196343541145325,-0.4030194580554962
resnet50,clean,1204,1204,3,,12.423053741455078,9.004152297973633
resnet50,clean,4229,4229,3,,12.813619613647461,8.751748085021973
resnet50,clean,5528,5528,3,,11.24221134185791,8.046814918518066
resnet50,clean,1401,1401,3,,12.636141777038574,8.538949012756348
resnet50,clean,4821,4821,3,,11.771442413330078,8.691913604736328
resnet50,clean,6952,6952,3,,12.017508506774902,8.085694313049316
resnet50,clean,372,372,3,,12.318607330322266,8.188342094421387
resnet50,clean,4908,4908,3,,12.049668312072754,8.806384086608887
resnet50,clean,2754,2754,3,,12.34953784942627,8.662041664123535
resnet50,clean,632,632,3,,12.647178649902344,8.994476318359375
resnet50,clean,4023,4023,3,,12.333439826965332,7.3164167404174805
resnet50,clean,176,176,3,,12.557697296142578,8.983992576599121
resnet50,clean,3851,3851,3,,11.393535614013672,8.433802604675293
resnet50,clean,391,391,3,,12.616421699523926,8.391316413879395
resnet50,clean,4463,4463,3,,12.76745891571045,8.623732566833496
resnet50,clean,3375,3375,3,,12.268757820129395,7.324588298797607
resnet50,clean,1370,1370,3,,11.648289680480957,8.180522918701172
resnet50,clean,2539,2539,3,,12.022354125976562,9.040604591369629
resnet50,clean,979,979,3,,11.57519245147705,8.227948188781738
resnet50,clean,4590,4590,3,,12.874472618103027,8.759406089782715
resnet50,clean,3067,3067,2,,2.669691324234009,11.285059928894043
