backbone,condition,condition_point_id,clean_official_index,true_class_id,translation_direction,umap_x,umap_y
clip_vit_b_32,clean,6455,6455,0,,11.827383995056152,1.3194563388824463
clip_vit_b_32,clean,4130,4130,0,,12.256803512573242,1.2277238368988037
clip_vit_b_32,clean,2024,2024,0,,11.98393726348877,1.266842007637024
clip_vit_b_32,clean,7150,7150,0,,12.675185203552246,1.4071613550186157
clip_vit_b_32,clean,7372,7372,0,,12.916300773620605,1.3893553018569946
clip_vit_b_32,clean,7009,7009,0,,12.498037338256836,1.682265281677246
clip_vit_b_32,clean,3437,3437,0,,11.882372856140137,1.1803308725357056
clip_vit_b_32,clean,4615,4615,0,,12.544054985046387,1.5306785106658936
clip_vit_b_32,clean,5999,5999,0,,12.134371757507324,1.7506482601165771
clip_vit_b_32,clean,4675,4675,0,,12.879861831665039,1.482323408126831
clip_vit_b_32,clean,4785,4785,0,,13.029617309570312,1.441441297531128
clip_vit_b_32,clean,1175,1175,0,,12.702441215515137,1.448195457458496
clip_vit_b_32,clean,1648,1648,0,,12.90006160736084,1.3813072443008423
clip_vit_b_32,clean,4893,4893,0,,12.518281936645508,1.246666431427002
clip_vit_b_32,clean,1977,1977,0,,12.246131896972656,1.7997276782989502
clip_vit_b_32,clean,6986,6986,0,,12.053192138671875,1.1574764251708984
clip_vit_b_32,clean,7634,7634,0,,12.362719535827637,1.1577575206756592
clip_vit_b_32,clean,6844,6844,0,,12.344199180603027,1.8470653295516968
clip_vit_b_32,clean,81,81,0,,12.113271713256836,1.858485460281372
clip_vit_b_32,clean,3965,3965,0,,12.963600158691406,1.4380000829696655
clip_vit_b_32,clean,1204,1204,3,,-2.4563193321228027,7.014082431793213
clip_vit_b_32,clean,4229,4229,3,,-2.4463884830474854,6.918380260467529
clip_vit_b_32,clean,5528,5528,3,,-1.7962536811828613,7.838326454162598
clip_vit_b_32,clean,1401,1401,3,,-1.6537420749664307,7.454637050628662
clip_vit_b_32,clean,4821,4821,3,,-1.8032344579696655,7.685225963592529
clip_vit_b_32,clean,6952,6952,3,,-1.7650192975997925,7.7762017250061035
clip_vit_b_32,clean,372,372,3,,-1.511927604675293,7.587261199951172
clip_vit_b_32,clean,4908,4908,3,,-1.8232874870300293,7.629273891448975
clip_vit_b_32,clean,2754,2754,3,,-2.3035495281219482,6.801896572113037
clip_vit_b_32,clean,632,632,3,,-2.425131320953369,6.903759479522705
clip_vit_b_32,clean,4023,4023,3,,-1.864323377609253,6.4239091873168945
clip_vit_b_32,clean,176,176,3,,-2.3937785625457764,6.889217376708984
clip_vit_b_32,clean,3851,3851,3,,-1.4583165645599365,7.854759693145752
clip_vit_b_32,clean,391,391,3,,-2.859886407852173,6.58840799331665
clip_vit_b_32,clean,4463,4463,3,,-1.6475231647491455,7.373270511627197
clip_vit_b_32,clean,3375,3375,3,,-2.171247720718384,6.601823329925537
clip_vit_b_32,clean,1370,1370,3,,-1.9189469814300537,7.769421577453613
clip_vit_b_32,clean,2539,2539,3,,-2.255730152130127,6.802001953125
clip_vit_b_32,clean,979,979,3,,-2.0793917179107666,7.664222240447998
clip_vit_b_32,clean,4590,4590,3,,-1.7915555238723755,7.16388463973999
clip_vit_b_32,clean,3067,3067,2,,5.316903591156006,10.309551239013672
clip_vit_b_32,clean,3362,3362,2,,6.136591911315918,11.148425102233887
clip_vit_b_32,clean,6244,6244,2,,5.0944905281066895,10.355246543884277
clip_vit_b_32,clean,6271,6271,2,,6.127180576324463,11.140142440795898
clip_vit_b_32,clean,317,317,2,,6.042599678039551,11.061037063598633
clip_vit_b_32,clean,1202,1202,2,,6.120946884155273,11.132120132446289
