backbone,condition,condition_point_id,clean_official_index,true_class_id,translation_direction,umap_x,umap_y
vit_b_16,clean,6455,6455,0,,8.810833930969238,5.385040760040283
vit_b_16,clean,4130,4130,0,,9.885809898376465,5.239834308624268
vit_b_16,clean,2024,2024,0,,8.753739356994629,5.378261566162109
vit_b_16,clean,7150,7150,0,,10.142098426818848,5.39097261428833
vit_b_16,clean,7372,7372,0,,10.43504524230957,5.161144733428955
vit_b_16,clean,7009,7009,0,,10.071955680847168,5.438040733337402
vit_b_16,clean,3437,3437,0,,7.739715576171875,6.322179317474365
vit_b_16,clean,4615,4615,0,,9.795638084411621,5.270262241363525
vit_b_16,clean,5999,5999,0,,9.20180892944336,5.280107021331787
vit_b_16,clean,4675,4675,0,,10.542723655700684,5.250407695770264
vit_b_16,clean,4785,4785,0,,10.739716529846191,5.294663429260254
vit_b_16,clean,1175,1175,0,,9.965808868408203,5.253793239593506
vit_b_16,clean,1648,1648,0,,10.362566947937012,5.182610034942627
vit_b_16,clean,4893,4893,0,,10.53295612335205,5.3628106117248535
vit_b_16,clean,1977,1977,0,,9.560323715209961,5.222972393035889
vit_b_16,clean,6986,6986,0,,8.114204406738281,7.700588703155518
vit_b_16,clean,7634,7634,0,,9.7575044631958,5.399031639099121
vit_b_16,clean,6844,6844,0,,9.565073013305664,5.177677631378174
vit_b_16,clean,81,81,0,,9.676987648010254,4.842221260070801
vit_b_16,clean,3965,3965,0,,10.52573299407959,5.288992881774902
vit_b_16,clean,1204,1204,3,,2.4505841732025146,4.94603967666626
vit_b_16,clean,4229,4229,3,,2.3383777141571045,5.564003944396973
vit_b_16,clean,5528,5528,3,,2.9194157123565674,6.332657337188721
vit_b_16,clean,1401,1401,3,,2.2597544193267822,5.304440021514893
vit_b_16,clean,4821,4821,3,,2.6068198680877686,5.9615702629089355
vit_b_16,clean,6952,6952,3,,2.935924768447876,6.0765509605407715
vit_b_16,clean,372,372,3,,3.0281946659088135,6.214865684509277
vit_b_16,clean,4908,4908,3,,2.4719769954681396,5.668022155761719
vit_b_16,clean,2754,2754,3,,2.0241682529449463,5.53213357925415
vit_b_16,clean,632,632,3,,2.266232967376709,5.22775411605835
vit_b_16,clean,4023,4023,3,,0.5681301355361938,1.0733528137207031
vit_b_16,clean,176,176,3,,2.27533221244812,5.085911750793457
vit_b_16,clean,3851,3851,3,,2.945206642150879,6.6034088134765625
vit_b_16,clean,391,391,3,,1.8356878757476807,5.574653625488281
vit_b_16,clean,4463,4463,3,,2.254446029663086,5.6595988273620605
vit_b_16,clean,3375,3375,3,,0.5523297190666199,1.0747582912445068
vit_b_16,clean,1370,1370,3,,2.6320042610168457,5.99420166015625
vit_b_16,clean,2539,2539,3,,2.156582832336426,5.009341716766357
vit_b_16,clean,979,979,3,,2.8112776279449463,6.1323394775390625
vit_b_16,clean,4590,4590,3,,2.5646328926086426,5.935757160186768
vit_b_16,clean,3067,3067,2,,10.207364082336426,-0.6994497776031494
vit_b_16,clean,3362,3362,2,,10.040477752685547,-1.5231550931930542
vit_b_16,clean,6244,6244,2,,9.72944164276123,-0.8138275742530823
vit_b_16,clean,6271,6271,2,,9.929121017456055,-1.618181586265564
vit_b_16,clean,317,317,2,,9.850024223327637,-1.1140758991241455
vit_b_16,clean,1202,1202,2,,9.774953842163086,-1.6101746559143066
vit_b_16,clean,4921,4921,2,,10.793577194213867,-0.9477198719978333
vit_b_16,clean,6264,6264,2,,11.003986358642578,-0.7413195371627808
