path,domain,partition,bytes,sha256
photo/dog/056_0001.jpg,photo,train,22939,ff6f4c80d7232314295d86ea3f974d7e995555bb8d88f862b8f1b4e6b82068a7
photo/dog/056_0002.jpg,photo,train,29289,e3210ac7824b1116bb0df6ca88c4cf3fa7602b00d09e80e06b3112eeed81a719
photo/dog/056_0003.jpg,photo,train,28846,2ed80be9405a75875ca9c2e331273571c0f7f4ab9b2431ce2f7e0e556c46824c
photo/dog/056_0004.jpg,photo,train,25770,945ff8fcb0f651bc950b459ed9f10c1c6d364ee07c8b05d0283a2920efb757ea
photo/dog/056_0005.jpg,photo,train,25380,d158ca870288361878bd9fa5e6fdf636814de86a9da5d2deebbc1db940c75815
photo/dog/056_0006.jpg,photo,train,26791,94d093baddd55a9590d2d6307b1d7ef4d70245935f4ab05086b53acda0fb9f86
photo/dog/056_0007.jpg,photo,train,19451,67f9b326b089e96f7c5311033941c61c7ccdcb00744beefdf8355f84a5d05ad8
photo/dog/056_0011.jpg,photo,train,32948,2d43a40e8f9fe03005435d867891e0b7c7c2461f6db1f9ee4a4780e4b8dfb149
photo/dog/056_0012.jpg,photo,train,33425,be6efdb75d5988b63275090251eb33ed53aa8ae126474cdfa85eaf427f7e3489
photo/dog/056_0013.jpg,photo,train,23118,0912fed58b236776358bb5c6c6b9ca7f4ffe61b8b7dcb57ed603329d0c625313
photo/dog/056_0014.jpg,photo,train,21307,1a86ead695d231cd3d7da41424afd1e5c41c3dfb929298e747b075fa6bd6a3b4
photo/dog/056_0015.jpg,photo,train,30046,b5f5303a71d6f93be1b280016090ac2a7ee16714925e59cea2fe83977099ed3a
photo/dog/056_0016.jpg,photo,train,21818,58aefdc068678fda3154ff94c645e51a372efc88624baf651211e381f47cc39f
photo/dog/056_0017.jpg,photo,train,18597,ca206c1a5ae84d2e402243c2d37adc084ce90a2b0204d7f0ae90522d66979431
photo/dog/056_0018.jpg,photo,train,23577,575f64c176cfb57d1f1074ebca93bb0923d9d74d8e4191973298681076e538e0
photo/dog/056_0020.jpg,photo,train,18439,41b870f1e0e1a974b5e2de1bd8861536f6c2a509c5929553fe924ab798ac7804
photo/dog/056_0021.jpg,photo,train,27489,736fa68d3841bffb6e287cd7e7cdc489251ce9523d2d832c8f1257ac35a492b2
photo/dog/056_0022.jpg,photo,train,31910,7039e49399a1cbf0ef1a406d4e098633f6e8931bf781d0018d79dc2cf98d0ac1
photo/dog/056_0023.jpg,photo,train,22402,7c0837d66fc2ae534afd74d127aa75868aa5ef7b3a3cac7610212656c4f8b882
photo/dog/056_0024.jpg,photo,train,22388,cb6f8d0cdb012d3b3b3b92b4a88a9272a5d20e1db071c342d8d4a5fec1e5b281
photo/dog/056_0026.jpg,photo,train,20312,3d2954d9f229a08e833e2a676756dfa0b1612b23e5c5f836f8dda0eeecced11e
photo/dog/056_0027.jpg,photo,train,22949,6878b9c9171bfdf07c703d7251e4f55cb1888c8b2ea67428fb399b34936fd7f7
photo/dog/056_0028.jpg,photo,train,31048,7c9edfce9ec6c3cb8b5484808a2dd5163f7c0c258f47d312f58a11479f334553
photo/dog/056_0031.jpg,photo,train,22516,86c4feee5c7d0bd3e34ed9f4138abb50d55ae6429cc11d360a60fd7fa9443452
photo/dog/056_0032.jpg,photo,train,25786,0b08e40aab3b162986ea99c6d4b8e4c5d9961ccc3a697645b0e3e964d3a4d19d
photo/dog/056_0033.jpg,photo,train,14451,61a8ddb817208ac6fb4e71744066110938d62df343522cabc17cfa15435f06bd
photo/dog/056_0034.jpg,photo,train,24232,e7b978e9505702dbe0f69aca2021fa845413206ac58b0e12a0df4d89c60543b7
photo/dog/056_0035.jpg,photo,train,22421,d49ffd976c6b1de714e56c910daf4d39b6a8b99da88b97987e56e9ba2e44da9d
photo/dog/056_0036.jpg,photo,train,35613,7b20d436648d0e73a09954d1263379c7e3eee6738eb97269d45b422ae10eaa80
photo/dog/056_0037.jpg,photo,train,19470,4918fe7725cadb18e6797133b2e7e573bcb8a9ab96fe85e7a5caa433e9ccee6a
photo/dog/056_0038.jpg,photo,train,19524,13f872a0090fc89594cb9e8d0281f37a82b96e9591c1aa8b39e275c6b28f9538
photo/dog/056_0039.jpg,photo,train,22270,ed6ccfd6fa143ec0de0201bc08b094c710060d6f2bc31a487018ed1f4331cb97
photo/dog/056_0040.jpg,photo,train,19401,48cd1e62ec9617086fe974c94aa2bab8d6c0d610a6f5daa9ac50b003eed0e751
photo/dog/056_0041.jpg,photo,train,22113,d452a421fe5453da164329dd913ada171749f031054e54e63d2e0ca7158e1c1f
photo/dog/056_0045.jpg,photo,train,20631,c86c420722b43bc56a912d8030e1de56b55b62d2e2efb95f07167a32cda50d01
photo/dog/056_0046.jpg,photo,train,24460,23b8547ebb9fdd79f1067771a6c032bc023c4f2a91baab2833507bfef215cafa
photo/dog/056_0047.jpg,photo,train,21878,f335f2ab656bee5ae59ea03ef57327c14a5a3e7661f614aaf83c81fdc774e843
